OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,325,1,325,10,34,15,59,268,55,270,125,200,75,250,31.652582314959215,4.625575592025496
2,8,2,8,0,0,0,0,8,4,4,0,8,0,8,5.532011617744966,0.459702601180630
3,1943,3,1943,0,0,153,153,1790,208,1735,142,1801,152,1791,20.101205100762389,1.360511159600084
4,210,4,210,0,0,0,0,210,3,207,0,210,21,189,8.659101644461440,0.764980362563783
5,391,5,391,13,25,0,38,356,107,284,5,386,33,358,12.250581244791922,1.638859680366131
6,498,6,498,78,5,100,183,315,36,462,0,498,7,491,9.565782119257808,0.974541465553969
7,735,7,735,224,3,0,227,508,119,616,218,517,8,727,129.452622681777400,7.794306285101017
8,9,8,9,0,0,0,0,9,0,9,0,9,0,9,2.485415962523863,0.055148012793993
9,6853,9,6853,424,825,1559,2808,4107,1673,5180,4098,2755,1923,4930,12.169852521721037,3.990424221580781
10,747,10,747,0,0,0,0,747,106,641,0,747,65,682,11.249195162316779,3.031572801381985
11,399,11,399,0,0,0,0,399,80,319,0,399,21,378,15.630412258900391,2.814932558738421
12,2062,12,2062,0,0,0,0,2062,1285,777,0,2062,67,1995,32.311926643889642,3.942800999319827
13,7997,13,7997,365,2948,1275,4588,3599,1102,6895,2717,5280,1264,6733,41.312590731237563,11.941943778489515
14,5973,14,5973,277,267,890,1434,4627,388,5585,745,5228,1095,4878,19.376102694462588,3.033327502897022
15,30162,15,30162,1093,5511,339,6943,23618,11022,19140,19243,10919,2021,28141,22.961417323658534,12.481025532768541
16,9165,16,9165,2318,2450,1973,6741,3618,689,8476,289,8876,2022,7143,53.249992514628012,10.313370495716866
17,1109,17,1109,271,386,146,803,434,37,1072,22,1087,266,843,46.795915545469803,5.676304341624811
18,188,18,188,0,9,0,9,179,0,188,6,182,10,178,63.096104949655228,0.688040246995748
19,1539,19,1539,0,103,64,167,1372,371,1168,128,1411,304,1235,14.976510289674659,2.734023770627776
20,1338,20,1338,367,0,0,367,971,299,1039,0,1338,97,1241,57.817966908386083,2.574996356587247
21,2981,21,2981,62,0,76,138,2845,242,2739,0,2981,185,2796,91.509226094123662,3.776283490138341
22,1602,22,1602,0,0,0,0,1602,633,969,0,1602,1,1601,29.089703226953649,1.626107824300383
23,3628,23,3628,0,0,0,0,3628,805,2823,0,3628,24,3604,52.545970335206597,3.836118080266624
24,14548,24,14548,557,583,2156,3296,11332,5106,9442,1359,13189,55,14493,106.067250120736060,25.656769213832959
25,7307,25,7307,256,1516,2122,3894,3598,480,6827,4625,2682,3765,3542,33.977352795323988,7.309180094720412
26,521,26,521,19,15,11,45,476,117,404,0,521,15,506,9.800988014007347,1.315063099453234
27,2331,27,2331,19,46,56,121,2210,867,1464,0,2331,45,2286,28.862735625426787,3.767553941551174
28,2631,28,2631,523,85,47,655,1989,495,2136,0,2631,127,2504,57.418160884033441,4.971103255643789
29,1956,29,1956,201,23,84,308,1648,440,1516,0,1956,137,1819,37.637996461880491,2.944898814131608
30,1142,30,1142,24,7,0,31,1111,171,971,0,1142,78,1064,20.729602455112282,1.187558831106452
31,442,31,442,0,41,55,96,346,185,257,177,265,122,320,26.337705670180384,3.392517181177595
32,27676,32,27676,190,569,13793,14552,13161,2214,25462,17466,10210,14112,13564,21.834990333718412,7.051020237677816
33,839,33,839,35,9,85,129,710,224,615,77,762,275,564,34.525708042448287,5.889953769551211
34,14,34,14,0,0,0,0,14,0,14,0,14,2,12,3.051618427690130,0.260731175689270
