OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantat,Shape_Length,Shape_Area
1,778,1,778,50,50,61,161,619,152,626,116,662,86,692,31.65258231,4.625575592
2,3,2,3,0,0,0,0,3,1,2,0,3,0,3,5.532011618,0.459702601
3,382,3,382,0,0,5,5,377,39,343,9,373,15,367,20.1012051,1.36051116
4,49,4,49,0,0,0,0,49,0,49,0,49,1,48,8.659101644,0.764980363
5,199,5,199,23,20,0,43,161,13,186,0,199,29,170,12.25058124,1.63885968
6,81,6,81,5,4,3,12,69,4,77,0,81,0,81,9.565782119,0.974541466
7,87,7,87,32,0,0,32,55,11,76,13,74,0,87,129.4526227,7.794306285
8,2,8,2,0,0,0,0,2,0,2,0,2,0,2,2.485415963,0.055148013
9,348,9,348,4,13,128,145,204,17,331,88,260,125,223,12.16985252,3.990424222
10,219,10,219,0,0,0,0,219,1,218,0,219,18,201,11.24919516,3.031572801
11,119,11,119,0,0,0,0,119,0,119,0,119,2,117,15.63041226,2.814932559
12,410,12,410,0,0,0,0,410,166,244,0,410,7,403,32.31192664,3.942800999
13,3775,13,3775,218,1159,863,2240,1622,360,3415,465,3310,365,3410,41.31259073,11.94194378
14,334,14,334,21,12,74,107,235,16,318,6,328,18,316,19.37610269,3.033327503
15,972,15,972,304,220,48,572,467,62,910,184,788,89,883,22.96141732,12.48102553
16,2249,16,2249,447,446,323,1216,1179,275,1974,180,2069,380,1869,53.24999251,10.3133705
17,496,17,496,123,156,76,355,210,18,478,36,460,116,380,46.79591555,5.676304342
18,356,18,356,0,3,0,3,353,0,356,0,356,28,328,63.09610495,0.688040247
19,336,19,336,0,29,5,34,302,89,247,3,333,28,308,14.97651029,2.734023771
20,163,20,163,14,0,0,14,149,101,62,0,163,1,162,57.81796691,2.574996357
21,340,21,340,5,0,0,5,335,26,314,0,340,4,336,91.50922609,3.77628349
22,502,22,502,0,0,0,0,502,135,367,0,502,1,501,29.08970323,1.626107824
23,1645,23,1645,0,0,0,0,1645,332,1313,0,1645,3,1642,52.54597034,3.83611808
24,2224,24,2224,46,39,187,272,1966,1080,1144,61,2163,3,2221,106.0672501,25.65676921
25,4058,25,4058,83,439,1612,2134,1979,213,3845,3083,975,2085,1973,33.9773528,7.309180095
26,43,26,43,2,1,1,4,39,8,35,0,43,1,42,9.800988014,1.315063099
27,1102,27,1102,9,6,12,27,1075,376,726,0,1102,13,1089,28.86273563,3.767553942
28,569,28,569,72,15,9,96,478,55,514,0,569,26,543,57.41816088,4.971103256
29,440,29,440,34,3,25,62,378,88,352,0,440,29,411,37.63799646,2.944898814
30,152,30,152,0,0,1,1,151,9,143,0,152,4,148,20.72960246,1.187558831
31,384,31,384,3,37,27,67,318,145,239,47,337,39,345,26.33770567,3.392517181
32,750,32,750,1,13,116,130,620,62,688,115,635,246,504,21.83499033,7.051020238
33,1528,33,1528,66,14,186,266,1262,424,1104,108,1420,288,1240,34.52570804,5.88995377
34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,3.051618428,0.260731176
